timestamp,price,volume
2025-07-07 00:00:00,109215.19771840284,14638669497.351297
2025-07-08 00:00:00,108300.71675785031,25493246475.80407
2025-07-09 00:00:00,108953.19187727802,20488865138.27645
2025-07-10 00:00:00,111327.53054245669,37078460440.66385
2025-07-11 00:00:00,115879.65030112496,56204086624.04028
2025-07-12 00:00:00,117571.02510036016,64185145923.88688
2025-07-13 00:00:00,117418.95745007684,24351256098.393543
2025-07-14 00:00:00,119117.55666327637,27310851454.97692
2025-07-15 00:00:00,119833.67446712355,68915956378.80447
2025-07-16 00:00:00,117678.19493404306,80299520980.2335
2025-07-17 00:00:00,118748.1627367753,50374263848.76278
2025-07-18 00:00:00,119445.36520434043,49282617205.72662
2025-07-19 00:00:00,117988.94664455787,58896449260.69391
2025-07-20 00:00:00,117901.62655900871,23934511126.349533
2025-07-21 00:00:00,117256.9208222684,36702153882.06748
2025-07-22 00:00:00,117482.46977767294,46344384345.39471
2025-07-23 00:00:00,119955.79570607653,58939000420.94166
2025-07-24 00:00:00,118629.05588130427,45225685167.61703
2025-07-25 00:00:00,118354.43517438594,51940414419.3327
2025-07-26 00:00:00,117540.80837085741,91617702596.10347
2025-07-27 00:00:00,117959.54234360624,25145925063.881348
2025-07-28 00:00:00,119418.91405141471,30220402191.467663
2025-07-29 00:00:00,118003.30201607826,43433742203.62158
2025-07-30 00:00:00,117853.30892863822,42860287143.68828
2025-07-31 00:00:00,117833.24087995925,43054424656.58649
2025-08-01 00:00:00,115700.00243915782,45238249453.35885
2025-08-02 00:00:00,113234.6051343189,65794680822.25255
2025-08-03 00:00:00,112554.90232221723,33543439044.09785
2025-08-04 00:00:00,114199.10966460757,24689273719.085533
2025-08-05 00:00:00,115138.68613070177,32488023582.82734
2025-08-05 17:35:06,113407.40038493075,37724132499.24776
